epochs,train_loss,train_cost,val_cost
0,-0.256102591753006,7.3411383628845215,6.8411054611206055
1,0.14050418138504028,6.749600887298584,6.658623218536377
2,-0.14703790843486786,6.646442890167236,6.633293628692627
3,-0.057053644210100174,6.59817361831665,6.56777286529541
4,-0.15230515599250793,6.565953731536865,6.528629779815674
5,-0.1872945874929428,6.543069839477539,6.51844596862793
6,-0.14339202642440796,6.523427963256836,6.503969669342041
7,-0.14159967005252838,6.506502628326416,6.491367816925049
8,-0.13754557073116302,6.497523307800293,6.477125644683838
9,-0.14561864733695984,6.487350940704346,6.471146106719971
10,-0.12332061678171158,6.48199987411499,6.466282367706299
11,-0.12371956557035446,6.470815181732178,6.468701362609863
12,-0.10782726854085922,6.467198848724365,6.450948238372803
13,-0.12665344774723053,6.457132816314697,6.4437360763549805
14,-0.1263088881969452,6.450126647949219,6.436971187591553
15,-0.11312982439994812,6.445356845855713,6.438467025756836
16,-0.09581393003463745,6.440338134765625,6.431085586547852
17,-0.1191425696015358,6.438990592956543,6.430764198303223
18,-0.10665009915828705,6.433549404144287,6.432922840118408
19,-0.09568954259157181,6.430517673492432,6.41930627822876
20,-0.11890289187431335,6.426765441894531,6.420901775360107
21,-0.10449321568012238,6.419930458068848,6.417367935180664
22,-0.10512751340866089,6.419498443603516,6.418360233306885
23,-0.0957065150141716,6.416129112243652,6.408297061920166
24,-0.11594777554273605,6.415362358093262,6.409669399261475
25,-0.10644009709358215,6.41187047958374,6.409468173980713
26,-0.09831401705741882,6.409463882446289,6.401516914367676
27,-0.1000409796833992,6.404114723205566,6.410722732543945
28,-0.09886099398136139,6.403357982635498,6.402174949645996
29,-0.0925457775592804,6.401686191558838,6.4065351486206055
30,-0.08794475346803665,6.398927688598633,6.3971099853515625
31,-0.09372641891241074,6.398984432220459,6.404472827911377
32,-0.09089481085538864,6.396651744842529,6.387838363647461
33,-0.10054304450750351,6.39484167098999,6.3860344886779785
34,-0.09847419708967209,6.3938069343566895,6.3899431228637695
35,-0.09372958540916443,6.391289710998535,6.382999420166016
36,-0.09764266014099121,6.389172077178955,6.37917947769165
37,-0.09513043612241745,6.387781143188477,6.384091854095459
38,-0.09247490018606186,6.386629581451416,6.3824462890625
39,-0.0874495878815651,6.384859561920166,6.380250453948975
